Monday,"Welcome and introductions, Physico-chemistry lecture",Introductory lecture on separation technologies
Tuesday,Statistics lecture,Quantitative LC lecture
Wednesday,Paracetamol lab (part 1),Paracetamol lab (part 2)
Thursday,Hydrocortisone lab (part 1),Hydrocortisone lab (part 2)
Friday,Data analysis workshop (part 1),Data analysis workshop (part 2)
Monday,Physico-chemical principles of separation lecture,HPLC method development lecture
Tuesday,Drylab workshop ,Equipment qualification lecture
Wednesday,Lidocaine method development lab/workshop (part 1),Lidocaine method development lab/workshop (part 2)
Thursday,Naproxen method development lab/workshop (part 1),Naproxen method development lab/workshop (part 2)
Friday,Data analysis workshop,Delegate presentations
